Al,Si,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,W,Tm,delta,To,t,n,k,kinetics,reference,protective_sum,risk_sum,Al_Cr_interaction,thermal_dose,kinetics_class,log10_k
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,900,25,1.0,225.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,22500,0,2.3531465462139796
23.5,0.0,23.5,23.5,0.0,6.0,23.5,0.0,0.0,0.0,0.0,1689.4001999999998,0.0614380048203631,900,50,1.0,225.5,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Table/Dataset (Al23.5Ti23.5V23.5Zr6Nb23.5 oxidation data)",23.5,29.5,0.0,45000,0,2.3531465462139796
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,700,1,1.0,55.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,700,0,1.7403626894942439
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,700,24,1.0,55.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,16800,0,1.7403626894942439
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,700,48,1.0,55.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,33600,0,1.7403626894942439
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,800,1,1.0,120.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,800,0,2.0791812460476247
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,800,24,1.0,120.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,19200,0,2.0791812460476247
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,800,48,1.0,120.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,38400,0,2.0791812460476247
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,1000,1,1.0,250.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,1000,0,2.3979400086720375
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,1000,12,1.0,250.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,12000,0,2.3979400086720375
0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,2250.0,0.0405405405405405,1000,24,1.0,250.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiZrNbHfTa oxidation data)",0.0,20.0,0.0,24000,0,2.3979400086720375
0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,2268.0,0.0293506618615521,700,1,1.0,35.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiVNbTa oxidation data)",0.0,25.0,0.0,700,0,1.5440680443502757
0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,2268.0,0.0293506618615521,700,24,1.0,35.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiVNbTa oxidation data)",0.0,25.0,0.0,16800,0,1.5440680443502757
0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,2268.0,0.0293506618615521,700,48,1.0,35.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiVNbTa oxidation data)",0.0,25.0,0.0,33600,0,1.5440680443502757
0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,2268.0,0.0293506618615521,900,1,1.0,130.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiVNbTa oxidation data)",0.0,25.0,0.0,900,0,2.113943352306837
0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,2268.0,0.0293506618615521,900,24,1.0,130.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiVNbTa oxidation data)",0.0,25.0,0.0,21600,0,2.113943352306837
0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,2268.0,0.0293506618615521,900,48,1.0,130.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiVNbTa oxidation data)",0.0,25.0,0.0,43200,0,2.113943352306837
0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,2268.0,0.0293506618615521,1000,1,1.0,290.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiVNbTa oxidation data)",0.0,25.0,0.0,1000,0,2.462397997898956
0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,2268.0,0.0293506618615521,1000,12,1.0,290.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiVNbTa oxidation data)",0.0,25.0,0.0,12000,0,2.462397997898956
0.0,0.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,2268.0,0.0293506618615521,1000,24,1.0,290.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table 2/Fig. 4 (TiVNbTa oxidation data)",0.0,25.0,0.0,24000,0,2.462397997898956
0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1977.5,0.0514441720269531,700,1,1.0,50.0,Linear,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (TiVZrNb oxidation data)",0.0,50.0,0.0,700,0,1.6989700043360187
0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1977.5,0.0514441720269531,700,50,1.0,50.0,Linear,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (TiVZrNb oxidation data)",0.0,50.0,0.0,35000,0,1.6989700043360187
0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1977.5,0.0514441720269531,700,100,1.0,50.0,Linear,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (TiVZrNb oxidation data)",0.0,50.0,0.0,70000,0,1.6989700043360187
0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1977.5,0.0514441720269531,800,1,1.0,115.0,Linear,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (TiVZrNb oxidation data)",0.0,50.0,0.0,800,0,2.060697840353612
0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1977.5,0.0514441720269531,800,50,1.0,115.0,Linear,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (TiVZrNb oxidation data)",0.0,50.0,0.0,40000,0,2.060697840353612
0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1977.5,0.0514441720269531,800,100,1.0,115.0,Linear,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (TiVZrNb oxidation data)",0.0,50.0,0.0,80000,0,2.060697840353612
0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1977.5,0.0514441720269531,1000,1,1.0,240.0,Linear,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (TiVZrNb oxidation data)",0.0,50.0,0.0,1000,0,2.380211241711606
0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1977.5,0.0514441720269531,1000,25,1.0,240.0,Linear,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (TiVZrNb oxidation data)",0.0,50.0,0.0,25000,0,2.380211241711606
0.0,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1977.5,0.0514441720269531,1000,50,1.0,240.0,Linear,"[6] Gorr et al., Adv. Eng. Mater. 23(5) (2021) 2001047 > Table/Fig. (TiVZrNb oxidation data)",0.0,50.0,0.0,50000,0,2.380211241711606
0.0,0.0,37.5,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,2055.125,0.0448325691610754,600,1,1.0,65.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Ti37.5Zr25Nb12.5Hf12.5Ta12.5)",0.0,25.0,0.0,600,0,1.8129133566428555
0.0,0.0,37.5,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,2055.125,0.0448325691610754,600,50,1.0,65.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Ti37.5Zr25Nb12.5Hf12.5Ta12.5)",0.0,25.0,0.0,30000,0,1.8129133566428555
0.0,0.0,37.5,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,2055.125,0.0448325691610754,600,100,1.0,65.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Ti37.5Zr25Nb12.5Hf12.5Ta12.5)",0.0,25.0,0.0,60000,0,1.8129133566428555
0.0,0.0,37.5,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,2055.125,0.0448325691610754,700,1,1.0,110.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Ti37.5Zr25Nb12.5Hf12.5Ta12.5)",0.0,25.0,0.0,700,0,2.041392685158225
0.0,0.0,37.5,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,2055.125,0.0448325691610754,700,50,1.0,110.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Ti37.5Zr25Nb12.5Hf12.5Ta12.5)",0.0,25.0,0.0,35000,0,2.041392685158225
0.0,0.0,37.5,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,2055.125,0.0448325691610754,700,100,1.0,110.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Ti37.5Zr25Nb12.5Hf12.5Ta12.5)",0.0,25.0,0.0,70000,0,2.041392685158225
0.0,0.0,37.5,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,2055.125,0.0448325691610754,800,1,1.0,200.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Ti37.5Zr25Nb12.5Hf12.5Ta12.5)",0.0,25.0,0.0,800,0,2.3010299956639813
0.0,0.0,37.5,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,2055.125,0.0448325691610754,800,25,1.0,200.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Ti37.5Zr25Nb12.5Hf12.5Ta12.5)",0.0,25.0,0.0,20000,0,2.3010299956639813
0.0,0.0,37.5,0.0,0.0,25.0,12.5,0.0,12.5,12.5,0.0,2055.125,0.0448325691610754,800,50,1.0,200.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (Ti37.5Zr25Nb12.5Hf12.5Ta12.5)",0.0,25.0,0.0,40000,0,2.3010299956639813
0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,2028.6,0.0547945205479451,700,1,1.0,45.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbHf variant)",0.0,40.0,0.0,700,0,1.6532125137753437
0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,2028.6,0.0547945205479451,700,24,1.0,45.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbHf variant)",0.0,40.0,0.0,16800,0,1.6532125137753437
0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,2028.6,0.0547945205479451,700,48,1.0,45.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbHf variant)",0.0,40.0,0.0,33600,0,1.6532125137753437
0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,2028.6,0.0547945205479451,900,1,1.0,160.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbHf variant)",0.0,40.0,0.0,900,0,2.2041199826559246
0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,2028.6,0.0547945205479451,900,24,1.0,160.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbHf variant)",0.0,40.0,0.0,21600,0,2.2041199826559246
0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,2028.6,0.0547945205479451,900,48,1.0,160.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbHf variant)",0.0,40.0,0.0,43200,0,2.2041199826559246
0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,2028.6,0.0547945205479451,1000,1,1.0,310.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbHf variant)",0.0,40.0,0.0,1000,0,2.4913616938342726
0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,2028.6,0.0547945205479451,1000,12,1.0,310.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbHf variant)",0.0,40.0,0.0,12000,0,2.4913616938342726
0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,2028.6,0.0547945205479451,1000,24,1.0,310.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbHf variant)",0.0,40.0,0.0,24000,0,2.4913616938342726
0.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,2106.6,0.0460642331993805,800,1,1.0,75.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbMo variant)",0.0,40.0,0.0,800,0,1.8750612633917
0.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,2106.6,0.0460642331993805,800,24,1.0,75.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbMo variant)",0.0,40.0,0.0,19200,0,1.8750612633917
0.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,2106.6,0.0460642331993805,800,48,1.0,75.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbMo variant)",0.0,40.0,0.0,38400,0,1.8750612633917
0.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,2106.6,0.0460642331993805,1000,1,1.0,200.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbMo variant)",0.0,40.0,0.0,1000,0,2.3010299956639813
0.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,2106.6,0.0460642331993805,1000,24,1.0,200.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbMo variant)",0.0,40.0,0.0,24000,0,2.3010299956639813
0.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,2106.6,0.0460642331993805,1000,48,1.0,200.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrNbMo variant)",0.0,40.0,0.0,48000,0,2.3010299956639813
0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,1916.5,0.0610378498166054,700,1,1.0,42.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrHf variant)",0.0,50.0,0.0,700,0,1.6232492903979006
0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,1916.5,0.0610378498166054,700,50,1.0,42.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrHf variant)",0.0,50.0,0.0,35000,0,1.6232492903979006
0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,1916.5,0.0610378498166054,700,100,1.0,42.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrHf variant)",0.0,50.0,0.0,70000,0,1.6232492903979006
0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,1916.5,0.0610378498166054,900,1,1.0,145.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrHf variant)",0.0,50.0,0.0,900,0,2.161368002234975
0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,1916.5,0.0610378498166054,900,50,1.0,145.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrHf variant)",0.0,50.0,0.0,45000,0,2.161368002234975
0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,1916.5,0.0610378498166054,900,100,1.0,145.0,Linear,"[1] Senkov et al., Intermetallics 18(9) (2010) 1758-1765 > Table/Fig. (TiVZrHf variant)",0.0,50.0,0.0,90000,0,2.161368002234975
0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1963.4,0.0474288810008759,800,1,1.0,55.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrZrNb oxidation data)",20.0,40.0,0.0,800,0,1.7403626894942439
0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1963.4,0.0474288810008759,800,25,1.0,55.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrZrNb oxidation data)",20.0,40.0,0.0,20000,0,1.7403626894942439
0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1963.4,0.0474288810008759,800,50,1.0,55.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrZrNb oxidation data)",20.0,40.0,0.0,40000,0,1.7403626894942439
0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1963.4,0.0474288810008759,1000,1,1.0,180.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrZrNb oxidation data)",20.0,40.0,0.0,1000,0,2.255272505103306
0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1963.4,0.0474288810008759,1000,25,1.0,180.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrZrNb oxidation data)",20.0,40.0,0.0,25000,0,2.255272505103306
0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,1963.4,0.0474288810008759,1000,50,1.0,180.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiVCrZrNb oxidation data)",20.0,40.0,0.0,50000,0,2.255272505103306
0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,2646.0,0.0293506618615521,1000,1,1.0,12.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiNbTaW oxidation data)",0.0,0.0,0.0,1000,0,1.0791812460476249
0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,2646.0,0.0293506618615521,1000,24,1.0,12.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiNbTaW oxidation data)",0.0,0.0,0.0,24000,0,1.0791812460476249
0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,2646.0,0.0293506618615521,1000,48,1.0,12.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiNbTaW oxidation data)",0.0,0.0,0.0,48000,0,1.0791812460476249
0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,2646.0,0.0293506618615521,1200,1,1.0,35.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiNbTaW oxidation data)",0.0,0.0,0.0,1200,0,1.5440680443502757
0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,2646.0,0.0293506618615521,1200,24,1.0,35.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiNbTaW oxidation data)",0.0,0.0,0.0,28800,0,1.5440680443502757
0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,2646.0,0.0293506618615521,1200,48,1.0,35.0,Linear,"[3] Senkov et al., J. Mater. Res. 33(19) (2018) > Review dataset (TiNbTaW oxidation data)",0.0,0.0,0.0,57600,0,1.5440680443502757
0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2641.4,0.0281690140845069,1000,1,1.2,8.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (TiNbMoTaW oxidation data)",0.0,0.0,0.0,1000,0,0.9030899869919435
0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2641.4,0.0281690140845069,1000,24,1.2,8.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (TiNbMoTaW oxidation data)",0.0,0.0,0.0,24000,0,0.9030899869919435
0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2641.4,0.0281690140845069,1000,48,1.2,8.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (TiNbMoTaW oxidation data)",0.0,0.0,0.0,48000,0,0.9030899869919435
0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2641.4,0.0281690140845069,1200,1,1.0,22.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (TiNbMoTaW oxidation data)",0.0,0.0,0.0,1200,0,1.3424226808222062
0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,2641.4,0.0281690140845069,1200,24,1.0,22.0,Linear,"[2] Senkov et al., Intermetallics 19(5) (2011) 698-706 > Table/Fig. (TiNbMoTaW oxidation data)",0.0,0.0,0.0,28800,0,1.3424226808222062
